focal,starting.plants.i,starting.plants.j,time,ending.plants.i,ending.plants.j,biomass.i,biomass.j,total.fecundity.i,total.fecundity.j,per.capita.fecundity.i,per.capita.fecundity.j
i,4,3,9,3.999999999999998,2.999999999999997,0.9574476160467477,0.4255322737987429,239.3619040116869,106.38306844968574,59.84047600292176,35.46102281656195
i,2,6,10,1.9999999999999944,5.999999999999985,0.957443335869024,0.42553037149734557,239.36083396725599,106.3825928743364,119.68041698362832,17.730432145722776
j,4,12,1,3.9999999999999964,11.999999999999988,0.9327882018203245,0.4939462390499697,233.19705045508113,123.48655976249242,58.29926261377033,10.290546646874379
j,6,4,2,6.0000000000000036,3.9999999999999996,0.9573697596241222,0.4259734402520192,239.34243990603053,106.4933600630048,39.890406651005065,26.623340015751204
j,7,0,3,6.999999999999997,0,0.9999954400239737,0,249.9988600059934,0,35.71412285799907,NA
j,4,5,4,3.9999999999999942,4.9999999999999964,0.9574470546900904,0.42553251637858497,239.36176367252259,106.38312909464624,59.84044091813073,21.27662581892926
j,0,8,5,0,7.9999999999999885,0,0.9999999925105374,0,249.99999812763434,NA,31.24999976595434
j,8,2,6,7.999999999999996,1.999999999999999,0.9574464048433969,0.425531734032761,239.36160121084924,106.38293350819025,29.920200151356173,53.19146675409515
j,4,7,7,4,7.000000000000003,0.9574474800500228,0.42553221337331265,239.3618700125057,106.38305334332816,59.840467503126426,15.197579049046874
j,13,2,8,13.000000000000004,1.9999999999999993,0.9574455481754148,0.4255313547532964,239.3613870438537,106.3828386883241,18.412414387988743,53.191419344162064
j,8,7,9,7.999999999999993,6.999999999999993,0.9574439124602069,0.42553062776009654,239.36097811505172,106.38265694002413,29.92012226438149,15.197522420003462
j,2,0,10,1.9999999999999987,0,0.9999929409966813,0,249.99823524917034,0,124.99911762458525,NA
i,8,3,1,7.999999999999996,3,0.9538222996956203,0.4136060668883138,238.45557492390506,103.40151672207845,29.80694686548815,34.46717224069282
i,3,2,2,3,1.999999999999998,0.957349297050305,0.426108541275249,239.33732426257626,106.52713531881226,79.77910808752542,53.26356765940618
i,4,5,3,3.9999999999999933,4.999999999999996,0.9574430920138222,0.425554240463132,239.36077300345553,106.38856011578301,59.84019325086398,21.27771202315662
i,2,0,4,1.9999999999999976,0,1.00000013171075,0,250.00003292768753,0,125.00001646384392,NA
i,1,16,5,0.9999999999999989,15.999999999999982,0.9574021475522422,0.4255123074763734,239.35053688806053,106.37807686909335,239.3505368880608,6.648629804318341
i,4,2,6,3.9999999999999973,1.9999999999999987,0.9574462488647836,0.4255316662031697,239.3615622161959,106.38291655079242,59.840390554049016,53.19145827539624
i,3,6,7,3.0000000000000004,6.000000000000001,0.9574489685373976,0.42553287492485453,239.3622421343494,106.38321873121363,79.78741404478312,17.73053645520227
i,14,3,8,13.999999999999988,2.999999999999999,0.9570911238141462,0.4253738327541886,239.27278095353654,106.34345818854715,17.090912925252624,35.44781939618239
i,7,5,9,6.999999999999996,4.999999999999993,0.9574461948979986,0.4255316421768918,239.36154872449967,106.38291054422295,34.19450696064283,21.27658210884462
i,5,5,10,4.999999999999995,4.999999999999995,0.9574467751750663,0.4255319000778075,239.36169379376656,106.38297501945188,47.872338758753365,21.2765950038904
j,10,1,1,9.999999999999991,0.9999999999999983,0.9688549757260153,0.30527607794049827,242.2137439315038,76.31901948512457,24.221374393150402,76.3190194851247
j,5,4,2,5,3.9999999999999982,0.9573392373669474,0.426169586963242,239.33480934173684,106.54239674081049,47.86696186834737,26.635599185202633
j,4,7,3,3.999999999999997,6.999999999999997,0.9574425078169839,0.4255580653502655,239.360626954246,106.38951633756638,59.84015673856155,15.198502333938059
j,6,5,4,5.999999999999998,4.999999999999997,0.9574460263108114,0.4255319886657919,239.36150657770287,106.38299716644798,39.89358442961716,21.276599433289608
j,12,5,5,12.000000000000004,4.999999999999998,0.9574479805952221,0.4255324348249456,239.3619951488055,106.38310870623641,19.94683292906712,21.27662174124729
j,1,7,6,0.9999999999999991,6.999999999999991,0.9574471313099251,0.42553208078972565,239.36178282748128,106.3830201974314,239.36178282748148,15.19757431391879
j,2,2,7,1.9999999999999962,1.9999999999999962,0.9574465639204097,0.4255318061986599,239.36164098010244,106.38295154966497,119.68082049005145,53.19147577483258
j,14,7,8,13.999999999999979,6.999999999999989,0.957444907106377,0.42553106982506883,239.36122677659424,106.3827674562672,17.09723048404247,15.197538208038194
j,2,6,9,1.9999999999999971,5.9999999999999964,0.9574456558929543,0.42553140261912703,239.36141397323857,106.38285065478176,119.68070698661946,17.730475109130303
j,5,8,10,4.999999999999999,7.9999999999999964,0.9574469163545138,0.4255319628242308,239.36172908862846,106.3829907060577,47.8723458177257,13.297873838257217
