"","t","scenario","function.int","Population","N"
"195",19,"low",4,"Ni",45.1056686750811
"196",19,"low",4,"Nj",28.7710510214144
"197",20,"low",4,"Ni",26.2498923593624
"198",20,"low",4,"Nj",16.0828577571902
"199",21,"low",4,"Ni",78.8953696137323
"200",21,"low",4,"Nj",57.6223669484201
"201",22,"low",4,"Ni",21.7417291540855
"202",22,"low",4,"Nj",16.9129945993071
"203",23,"low",4,"Ni",88.0950378616986
"204",23,"low",4,"Nj",62.1006234138907
"205",24,"low",4,"Ni",23.9744179292489
"206",24,"low",4,"Nj",17.9631565737462
"207",25,"low",4,"Ni",77.2193431560327
"208",25,"low",4,"Nj",51.2167588420581
"209",0,"medium",1,"Ni",137.941469699797
"210",0,"medium",1,"Nj",12.4170108053485
"211",1,"medium",1,"Ni",37.2442058633197
"212",1,"medium",1,"Nj",57.0577466492776
"213",2,"medium",1,"Ni",16.3751441498719
"214",2,"medium",1,"Nj",162.48774248839
"215",3,"medium",1,"Ni",42.6599937175264
"216",3,"medium",1,"Nj",438.720563110693
"217",4,"medium",1,"Ni",12.0866121377354
"218",4,"medium",1,"Nj",1184.54552039887
"219",5,"medium",1,"Ni",3.77022164003494
"220",5,"medium",1,"Nj",3198.27290507695
"221",6,"medium",1,"Ni",1.0180161713151
"222",6,"medium",1,"Nj",8635.33684370777
"223",7,"medium",1,"Ni",0.274864366255078
"224",7,"medium",1,"Nj",23315.409478011
"225",8,"medium",1,"Ni",0.0742133788888711
"226",8,"medium",1,"Nj",62951.6055906297
"227",9,"medium",1,"Ni",0.0200376122999952
"228",9,"medium",1,"Nj",169969.3350947
"229",10,"medium",1,"Ni",0.0054101553209987
"230",10,"medium",1,"Nj",458917.20475569
"231",11,"medium",1,"Ni",0.00146074193666965
"232",11,"medium",1,"Nj",1239076.45284036
"233",12,"medium",1,"Ni",0.000394400322900806
"234",12,"medium",1,"Nj",3345506.42266898
"235",13,"medium",1,"Ni",0.000106488087183218
"236",13,"medium",1,"Nj",9032867.34120625
"237",14,"medium",1,"Ni",2.87517835394688e-05
"238",14,"medium",1,"Nj",24388741.8212569
"239",15,"medium",1,"Ni",7.76298155565657e-06
"240",15,"medium",1,"Nj",65849602.9173936
"241",16,"medium",1,"Ni",2.09600502002727e-06
"242",16,"medium",1,"Nj",177793927.876963
"243",17,"medium",1,"Ni",5.65921355407364e-07
"244",17,"medium",1,"Nj",480043605.267799
"245",18,"medium",1,"Ni",1.52798765959988e-07
"246",18,"medium",1,"Nj",1296117734.22306
"247",19,"medium",1,"Ni",4.12556668091969e-08
"248",19,"medium",1,"Nj",3499517882.40226
"249",20,"medium",1,"Ni",1.11390300384832e-08
"250",20,"medium",1,"Nj",9448698282.4861
"251",21,"medium",1,"Ni",3.00753811039045e-09
"252",21,"medium",1,"Nj",25511485362.7125
"253",22,"medium",1,"Ni",8.12035289805423e-10
"254",22,"medium",1,"Nj",68881010479.3237
"255",23,"medium",1,"Ni",2.19249528247464e-10
"256",23,"medium",1,"Nj",185978728294.174
"257",24,"medium",1,"Ni",5.91973726268153e-11
"258",24,"medium",1,"Nj",502142566394.27
"259",25,"medium",1,"Ni",1.59832906092401e-11
"260",25,"medium",1,"Nj",1355784929264.53
"261",0,"medium",2,"Ni",137.941469699797
"262",0,"medium",2,"Nj",12.4170108053485
"263",1,"medium",2,"Ni",37.2442598557333
"264",1,"medium",2,"Nj",35.4857175564531
"265",2,"medium",2,"Ni",10.7232035916473
"266",2,"medium",2,"Nj",112.652235048458
"267",3,"medium",2,"Ni",2.89779071096352
"268",3,"medium",2,"Nj",304.749542331822
"269",4,"medium",2,"Ni",0.782403492033661
"270",4,"medium",2,"Nj",822.823765273581
"271",5,"medium",2,"Ni",0.211248942849088
"272",5,"medium",2,"Nj",2221.62416623867
"273",6,"medium",2,"Ni",0.0570372145692539
