a_initial.i.i,a_initial.i.j,a_initial.j.i,a_initial.j.j,a_slope.i.i,a_slope.i.j,a_slope.j.i,a_slope.j.j,c.i.i,c.i.j,c.j.i,c.j.j,g.i,g.j,lambda.i,lambda.j,Nmax.i.i,Nmax.i.j,Nmax.j.i,Nmax.j.j,s.i,s.j,sim.i,sim.j,function.int,Ni.Cgrwc,Ni.grwr,Ni.grwrChesson,Ni.grwrStouffer,Nj.Cgrwc,Nj.grwr,Nj.grwrChesson,Nj.grwrStouffer,prob.coex,prob.coex.id,prob.coex.stouff
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,3,2.6492222518484803,0.3366832068315882,-0.7501205684162433,-1.088612829819004,0.7128442957824425,1.7619704313974265,-0.40783336095261535,0.5664327461004375,-1,-1,0
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,4,1.2442394881903924,0.3454959458837423,-0.8436570533783103,-1.0627743698989958,0.8032274807725706,1.7474107079938637,0.3396106064101848,0.5581350968211125,0,j,0
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,1,0.833124150922802,1.2256948774157879,0.3368944562872136,0.2035079300430304,0.8751267672647327,1.1577096218211937,0.32901619654456804,0.14644358934746032,1,j_i,1
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,2,1.7512426972209862,3.0524534300769566,-1.7293401833278017,1.1159456705642985,17.206476504278843,2.7400847281819236,0.44766319399361054,1.0079888426160148,0,j,1
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,3,1.251828928952004,0.4394438146987429,0.35703577136273856,-0.822245409167266,0.30749969594586,0.7384885646598262,-0.5277552868053937,-0.3031496616805879,0,i,-1
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,4,0.9333697416527427,0.2076676901237119,-1.156911864206445,-1.5718161205103542,0.6604035071508537,1.1291429408610563,0.19041274886751905,0.12145888553339257,0,j,0
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,1,0.9147568558593968,1.691058425053329,0.5670883617194914,0.5253546199129199,0.9591251214997915,1.4900007448390225,0.48787360016984377,0.3987766198492042,1,j_i,1
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,2,1.227973899475502,31.1724378599484,1.1542499784241116,3.4395343024612712,9.8284802999851,1.3934640118239607,0.12642716686080774,0.3317927418611016,1,j_i,1
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,3,76.12952035849322,1.734460951891922,0.5721450863410538,0.5506966745723074,0.9787799696941571,93.8425094669816,0.20918184096052883,4.541617945963167,1,j_i,1
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,4,1.1901224159785475,1.7634229100861178,0.5990005428198929,0.567256755582605,0.9687547576178095,3.071109715705539,0.9479827947952588,1.1220389671980906,1,j_i,1
