"","Time","Seeds i","Plants i","Biomass i","Seeds j","Plants j","Biomass j"
"",8.7725,58717.2747750141,45.3766192263094,119.675328177422,141285.179866789,109.184968711525,233.325580883553
"",8.773,58714.3096275086,45.4037076142209,119.707859240433,141284.756011885,109.255338145111,233.361002098107
"",8.7735,58711.3446297392,45.4307931652477,119.740277179128,141284.332158253,109.325707190847,233.396246419228
"",8.774,58708.3797816985,45.4578758796063,119.772582385297,141283.908305892,109.396075848734,233.431314653174
"",8.7745,58705.4150833787,45.4849557575136,119.804775249641,141283.484454803,109.466444118774,233.466207603138
"",8.775,58702.4505347725,45.5120327991862,119.836856161778,141283.060604986,109.536812000968,233.50092606925
"",8.7755,58699.4861358722,45.5391070048407,119.868825510237,141282.63675644,109.607179495319,233.535470848589
"",8.776,58696.5218866703,45.5661783746938,119.90068368246,141282.212909165,109.677546601828,233.569842735186
"",8.7765,58693.5577871591,45.5932469089622,119.932431064802,141281.789063162,109.747913320496,233.604042520029
"",8.777,58690.5938373313,45.6203126078622,119.964068042531,141281.365218431,109.818279651325,233.638070991069
"",8.7775,58687.6300371791,45.6473754716109,119.995594999828,141280.941374971,109.888645594317,233.671928933227
"",8.778,58684.666386695,45.6744355004245,120.027012319785,141280.517532782,109.959011149473,233.705617128401
"",8.7785,58681.7028858715,45.7014926945197,120.058320384409,141280.093691866,110.029376316794,233.739136355471
"",8.779,58678.739534701,45.7285470541131,120.089519574618,141279.66985222,110.099741096283,233.772487390305
"",8.7795,58675.7763331759,45.7555985794212,120.120610270242,141279.246013846,110.170105487942,233.805671005763
"",8.78,58672.8132812888,45.7826472706605,120.151592850024,141278.822176744,110.24046949177,233.83868797171
"",8.7805,58669.850379032,45.8096931280476,120.182467691623,141278.398340913,110.310833107771,233.871539055016
"",8.781,58666.887626398,45.8367361517989,120.213235171607,141277.974506354,110.381196335946,233.904225019563
"",8.7815,58663.9250233792,45.8637763421309,120.243895665459,141277.550673066,110.451559176296,233.936746626255
"",8.782,58660.9625699681,45.8908136992602,120.274449547576,141277.12684105,110.521921628824,233.969104633022
"",8.7825,58658.0002661571,45.9178482234032,120.304897191269,141276.703010305,110.59228369353,234.001299794825
"",8.783,58655.0381119387,45.9448799147761,120.335238968761,141276.279180832,110.662645370416,234.033332863668
"",8.7835,58652.0761073053,45.9719087735958,120.365475251192,141275.85535263,110.733006659485,234.065204588597
"",8.784,58649.1142522494,45.9989348000783,120.395606408616,141275.4315257,110.803367560736,234.096915715713
"",8.7845,58646.1525467633,46.0259579944401,120.425632810003,141275.007700041,110.873728074173,234.128466988175
"",8.785,58643.1909908396,46.0529783568977,120.455554823237,141274.583875654,110.944088199796,234.159859146209
"",8.7855,58640.2295844707,46.0799958876674,120.485372815119,141274.160052538,111.014447937608,234.191092927114
"",8.786,58637.2683276491,46.1070105869655,120.515087151369,141273.736230693,111.08480728761,234.222169065267
"",8.7865,58634.3072203671,46.1340224550085,120.544698196622,141273.31241012,111.155166249803,234.253088292133
"",8.787,58631.3462626173,46.1610314920125,120.574206314431,141272.888590819,111.225524824189,234.283851336268
"",8.7875,58628.3854543921,46.1880376981939,120.603611867269,141272.464772789,111.29588301077,234.314458923331
"",8.788,58625.4247956839,46.2150410737692,120.632915216526,141272.04095603,111.366240809547,234.344911776086
"",8.7885,58622.4642864852,46.2420416189544,120.662116722514,141271.617140543,111.436598220523,234.375210614412
"",8.789,58619.5039267884,46.2690393339658,120.691216744465,141271.193326327,111.506955243697,234.405356155308
"",8.7895,58616.5437165861,46.2960342190199,120.720215640531,141270.769513383,111.577311879073,234.435349112901
