a_initial.i.i,a_initial.i.j,a_initial.j.i,a_initial.j.j,a_slope.i.i,a_slope.i.j,a_slope.j.i,a_slope.j.j,c.i.i,c.i.j,c.j.i,c.j.j,g.i,g.j,lambda.i,lambda.j,Nmax.i.i,Nmax.i.j,Nmax.j.i,Nmax.j.j,s.i,s.j,sim.i,sim.j,function.int,Ni.Cgrwc,Ni.grwr,Ni.grwrChesson,Nj.Cgrwc,Nj.grwr,Nj.grwrChesson,prob.coex,prob.coex.id
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,3,2.0717954064052697,0.19454695492965737,-1.3131445508162152,0.7232956778643382,1.81014930904957,-0.1350062443763863,-1,-1
-0.34258537888206414,-0.06276678124854934,-0.0030609722969277067,-0.273691381285841,-0.4194974035490304,-0.6148342033848166,-0.749596701702103,-0.13970562745817006,0.14584634243510664,0.4941544272005558,0.5932698894757777,0.17983613605611026,1,1,1,1,3,0,2,1,1,1,3,3,4,1.058239325645716,0.23007718292860485,-1.2574576755032978,0.8090595357115999,1.7620656230831002,0.5098802567712132,0,j
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,1,0.833124150922802,1.2256948774157879,0.3368944562872136,0.8751267672647327,1.1577096218211937,0.32901619654456804,1,j_i
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,2,4.120862416184558,0.2616150353409896,-2.9677511236504737,5.087924245876507,0.1865576438132288,-3.0950774713186338,-1,-1
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,3,0.966790266662079,0.19141831630589234,-0.9996253096290424,0.5201340051290889,1.0549649191052552,0.08728121212735399,0,j
-0.3174583531950572,-0.18257260719710774,-0.1333865262441832,-0.27844913954246464,-0.21670201187953353,-0.2571017441805452,-0.9313310510478914,-0.08062944794073701,0.9146638121455908,0.47461590683087707,0.6248642187565565,0.6204926378559321,1,1,1,1,3,0,3,10,1,1,4,4,4,0.7391821206669449,0.09602048499355434,-1.8811816441958917,0.6300147288566541,1.0978803754549042,0.3955923358355997,0,j
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,1,0.9147568558593968,1.691058425053329,0.5670883617194914,0.9591251214997915,1.4900007448390225,0.48787360016984377,1,j_i
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,2,0.0929049761715063,8.918376109208216,-1.5744068516922987,43.056823978705104,0.5538433169331367,1.785304616123108,0,j
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,3,81.97964179017922,1.75147072073218,0.44025633181566265,1.1277218265766837,175.3527107358927,0.7603284898796119,1,j_i
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,4,0.8788192380283615,1.7111747006399358,0.5040162731625903,1.0337198703337644,3.0715367504979247,1.2513540540141284,1,j_i
