a_initial.i.i,a_initial.i.j,a_initial.j.i,a_initial.j.j,a_slope.i.i,a_slope.i.j,a_slope.j.i,a_slope.j.j,c.i.i,c.i.j,c.j.i,c.j.j,g.i,g.j,lambda.i,lambda.j,Nmax.i.i,Nmax.i.j,Nmax.j.i,Nmax.j.j,s.i,s.j,sim.i,sim.j,function.int,time,Ni.Ni,Nj.Ni,invader.Ni,grwr.Ni,Cgrwc.Ni,grwrChesson.Ni,grwrStouffer.Ni,Ni.Nj,Nj.Nj,invader.Nj,grwr.Nj,Cgrwc.Nj,grwrChesson.Nj,grwrStouffer.Nj,coex.stouff,prob.coex.stouff,prob.stable.stouff,coex.chess,prob.coex.chess,prob.stable.chess
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,2,1,1,1.3063679770330563,Ni,31.1724378599484,1.227973899475502,1.1542499784241116,3.4395343024612712,8.473732071160992e-40,1,Nj,1.3934640118239607,9.8284802999851,0.12642716686080774,0.3317927418611016,coex,4674,0,coex,1,3370
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,3,1,1,2.9358308640845303,Ni,1.734460951891922,76.12952035849322,0.5721450863410538,0.5506966745723074,3.2055778574832283,1,Nj,93.8425094669816,0.9787799696941571,0.20918184096052883,4.541617945963167,coex,4027,0,coex,2936,155
-0.3556443545482408,-0.08909698032063962,-0.041733741806571516,-0.3507006903310304,-0.27633602800779045,-0.29446255532093346,-0.6635090329218656,-0.3175065678078681,0.052525648614391685,0.5759503149893135,0.030114765744656324,0.8183259984944016,1,1,1,1,6,2,3,0,1,1,5,5,4,1,1,2.4488162427966746,Ni,1.7634229100861178,1.1901224159785475,0.5990005428198929,0.567256755582605,2.995073115210978,1,Nj,3.071109715705539,0.9687547576178095,0.9479827947952588,1.1220389671980906,coex,2500,0,coex,115,4489
-0.34088860679672095,-0.26376374188565904,-0.2176467067621967,-0.3403844710611343,-0.63187360833399,-0.15400728909298778,-0.03789491765201092,-0.9905239294748753,0.13620759709738195,0.4042668817564845,0.006037284852936864,0.010265843942761421,1,1,1,1,8,9,7,1,1,1,6,6,1,1,1,2.937854352998367,Ni,1.0198923355331961,0.7681550010720709,0.23734377508839702,0.019697068326200357,2.9335095983314017,1,Nj,0.8921348866878618,0.804409583937262,0.14962580231113776,-0.11413793957452151,comp,5049,0,coex,5050,0
-0.34088860679672095,-0.26376374188565904,-0.2176467067621967,-0.3403844710611343,-0.63187360833399,-0.15400728909298778,-0.03789491765201092,-0.9905239294748753,0.13620759709738195,0.4042668817564845,0.006037284852936864,0.010265843942761421,1,1,1,1,8,9,7,1,1,1,6,6,2,1,1,1.506525680597082,Ni,158.84945279432668,2.0130154269178773,NA,5.06795691591467,0,1,Nj,1.9340486057203885,NA,-0.04001828133466778,0.6596155289388657,coex,1,0,comp,0,0
-0.34088860679672095,-0.26376374188565904,-0.2176467067621967,-0.3403844710611343,-0.63187360833399,-0.15400728909298778,-0.03789491765201092,-0.9905239294748753,0.13620759709738195,0.4042668817564845,0.006037284852936864,0.010265843942761421,1,1,1,1,8,9,7,1,1,1,6,6,3,1,1,3.531264538576094,Ni,2.466141958753417,8.949605398194299,14.716374522623584,0.9026549694897382,18.001128891031794,1,Nj,0.001197739799803512,1.0017926096375095e-6,-8.918928440096352,-6.7273189983687915,comp,5029,0,comp,20,0
-0.34088860679672095,-0.26376374188565904,-0.2176467067621967,-0.3403844710611343,-0.63187360833399,-0.15400728909298778,-0.03789491765201092,-0.9905239294748753,0.13620759709738195,0.4042668817564845,0.006037284852936864,0.010265843942761421,1,1,1,1,8,9,7,1,1,1,6,6,4,1,1,3.215603578732636,Ni,1.2733917459611594,0.8808019176258043,0.45597423860695996,0.2416840066896904,4.829752728921253,1,Nj,0.8580840728344733,0.8071141007530228,-0.026130680872996553,-0.15305319730802033,comp,4986,0,comp,5046,0
-0.15317788051766862,-0.10586603301565128,-0.037862150434588904,-0.14840426612625388,-0.8558982410468161,-0.9051754586398602,-0.820502208545804,-0.9952181519474834,0.31096318806521595,0.07189762592315674,0.3349431627430022,0.46546749700792134,1,1,1,1,5,3,2,2,1,1,7,7,1,1,1,6.738350763779642,Ni,1.8070463638291785,0.899545149355092,0.6295558196176684,0.5916936691830794,6.528357727763788,1,Nj,1.174055974980488,0.962845659599115,0.266330432143974,0.16046439912832275,coex,5050,0,coex,5050,0
-0.15317788051766862,-0.10586603301565128,-0.037862150434588904,-0.14840426612625388,-0.8558982410468161,-0.9051754586398602,-0.820502208545804,-0.9952181519474834,0.31096318806521595,0.07189762592315674,0.3349431627430022,0.46546749700792134,1,1,1,1,5,3,2,2,1,1,7,7,2,1,1,0.010817372954881882,Ni,72.7959891756809,15.245652429287713,NA,4.287660859944277,0,1,Nj,6.339588657483718,NA,-0.8774804899831958,1.8468138858212295,coex,1,0,comp,0,0
-0.15317788051766862,-0.10586603301565128,-0.037862150434588904,-0.14840426612625388,-0.8558982410468161,-0.9051754586398602,-0.820502208545804,-0.9952181519474834,0.31096318806521595,0.07189762592315674,0.3349431627430022,0.46546749700792134,1,1,1,1,5,3,2,2,1,1,7,7,3,1,1,0.11266834707445374,Ni,22.341358972372984,4.4674825111909024,1.3615302062195191,3.106439623141529,7.990673992648798e-12,1,Nj,10.817083000740231,5.7253828291320374,0.8843015904251805,2.381126643794292,coex,4288,0,coex,96,0
